timestamp, power.draw [W]
2025/02/05 15:11:26.310, 16.32 W
2025/02/05 15:11:26.411, 15.31 W
2025/02/05 15:11:26.511, 15.35 W
2025/02/05 15:11:26.612, 16.15 W
2025/02/05 15:11:26.720, 16.62 W
2025/02/05 15:11:26.820, 17.50 W
2025/02/05 15:11:26.920, 18.37 W
2025/02/05 15:11:27.021, 21.37 W
2025/02/05 15:11:27.121, 25.42 W
2025/02/05 15:11:27.221, 29.50 W
2025/02/05 15:11:27.321, 33.75 W
2025/02/05 15:11:27.422, 38.02 W
2025/02/05 15:11:27.522, 41.44 W
2025/02/05 15:11:27.622, 45.28 W
2025/02/05 15:11:27.722, 48.69 W
2025/02/05 15:11:27.823, 52.08 W
2025/02/05 15:11:27.923, 55.46 W
2025/02/05 15:11:28.023, 58.78 W
2025/02/05 15:11:28.123, 60.06 W
2025/02/05 15:11:28.224, 60.28 W
2025/02/05 15:11:28.324, 60.50 W
2025/02/05 15:11:28.424, 60.53 W
2025/02/05 15:11:28.524, 60.55 W
2025/02/05 15:11:28.625, 60.55 W
2025/02/05 15:11:28.725, 60.55 W
2025/02/05 15:11:28.825, 60.55 W
2025/02/05 15:11:28.925, 60.55 W
2025/02/05 15:11:29.026, 60.74 W
2025/02/05 15:11:29.126, 61.08 W
2025/02/05 15:11:29.226, 61.51 W
2025/02/05 15:11:29.326, 61.90 W
2025/02/05 15:11:29.427, 62.26 W
2025/02/05 15:11:29.527, 62.67 W
2025/02/05 15:11:29.627, 63.04 W
2025/02/05 15:11:29.727, 63.44 W
2025/02/05 15:11:29.828, 63.85 W
2025/02/05 15:11:29.928, 64.25 W
2025/02/05 15:11:30.028, 64.64 W
2025/02/05 15:11:30.128, 64.87 W
2025/02/05 15:11:30.229, 64.91 W
2025/02/05 15:11:30.329, 64.91 W
2025/02/05 15:11:30.429, 64.66 W
2025/02/05 15:11:30.529, 64.32 W
2025/02/05 15:11:30.630, 63.94 W
2025/02/05 15:11:30.730, 63.58 W
2025/02/05 15:11:30.830, 63.22 W
2025/02/05 15:11:30.930, 62.86 W
2025/02/05 15:11:31.031, 62.49 W
2025/02/05 15:11:31.131, 62.14 W
2025/02/05 15:11:31.231, 61.79 W
