timestamp, power.draw [W]
2025/04/24 15:58:57.879, 18.81 W
2025/04/24 15:58:57.979, 19.02 W
2025/04/24 15:58:58.079, 19.38 W
2025/04/24 15:58:58.180, 19.81 W
2025/04/24 15:58:58.280, 19.82 W
2025/04/24 15:58:58.380, 19.82 W
2025/04/24 15:58:58.480, 20.16 W
2025/04/24 15:58:58.581, 20.39 W
2025/04/24 15:58:58.681, 20.55 W
2025/04/24 15:58:58.781, 20.62 W
2025/04/24 15:58:58.881, 20.67 W
2025/04/24 15:58:58.981, 23.13 W
2025/04/24 15:58:59.081, 22.84 W
2025/04/24 15:58:59.181, 22.53 W
2025/04/24 15:58:59.282, 22.51 W
2025/04/24 15:58:59.382, 22.72 W
2025/04/24 15:58:59.482, 22.72 W
2025/04/24 15:58:59.582, 22.39 W
2025/04/24 15:58:59.682, 22.38 W
2025/04/24 15:58:59.783, 22.30 W
2025/04/24 15:58:59.883, 22.30 W
2025/04/24 15:58:59.983, 22.31 W
2025/04/24 15:59:00.083, 22.31 W
2025/04/24 15:59:00.183, 22.48 W
2025/04/24 15:59:00.283, 24.04 W
2025/04/24 15:59:00.384, 27.46 W
2025/04/24 15:59:00.484, 33.19 W
2025/04/24 15:59:00.584, 49.92 W
2025/04/24 15:59:00.684, 66.10 W
2025/04/24 15:59:00.784, 82.43 W
2025/04/24 15:59:00.884, 88.94 W
2025/04/24 15:59:00.985, 93.42 W
2025/04/24 15:59:01.085, 98.00 W
2025/04/24 15:59:01.185, 103.02 W
2025/04/24 15:59:01.285, 107.49 W
2025/04/24 15:59:01.385, 109.99 W
2025/04/24 15:59:01.485, 110.85 W
2025/04/24 15:59:01.586, 109.60 W
2025/04/24 15:59:01.686, 97.35 W
2025/04/24 15:59:01.786, 85.73 W
2025/04/24 15:59:01.886, 73.90 W
2025/04/24 15:59:01.986, 71.87 W
2025/04/24 15:59:02.086, 71.88 W
2025/04/24 15:59:02.187, 71.79 W
2025/04/24 15:59:02.287, 71.07 W
2025/04/24 15:59:02.387, 71.07 W
2025/04/24 15:59:02.487, 71.08 W
2025/04/24 15:59:02.587, 71.30 W
2025/04/24 15:59:02.687, 71.45 W
2025/04/24 15:59:02.788, 69.03 W
2025/04/24 15:59:02.888, 65.79 W
2025/04/24 15:59:02.988, 62.83 W
2025/04/24 15:59:03.088, 59.83 W
2025/04/24 15:59:03.202, 56.91 W
2025/04/24 15:59:03.302, 53.92 W
2025/04/24 15:59:03.402, 50.95 W
2025/04/24 15:59:03.502, 47.97 W
2025/04/24 15:59:03.603, 44.97 W
2025/04/24 15:59:03.703, 41.74 W
2025/04/24 15:59:03.803, 41.74 W
2025/04/24 15:59:03.903, 41.74 W
2025/04/24 15:59:04.003, 41.74 W
2025/04/24 15:59:04.104, 38.03 W
2025/04/24 15:59:04.204, 38.00 W
2025/04/24 15:59:04.304, 37.87 W
