Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
1949099896,3552,142,,,,,,,,,,0.038,10594.575,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949243354,512,155,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949264186,512,168,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949281274,480,181,,,,,,,,,,0.000,533.333,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949293147,480,194,,,,,,,,,,0.000,533.333,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949306043,512,207,,,,,,,,,,0.000,15.625,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949357051,9121,220,,,,,,,,,,0.147,16166.633,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949388316,480,233,,,,,,,,,,0.000,533.333,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949403548,480,246,,,,,,,,,,0.000,533.333,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949416828,480,259,,,,,,,,,,0.000,533.333,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949428220,512,272,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949440733,480,285,,,,,,,,,,0.000,16.667,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949477341,8896,298,,,,,,,,,,0.147,16575.529,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949506046,512,311,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949519966,512,324,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949532638,512,337,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949544350,512,350,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949555678,480,363,,,,,,,,,,0.000,16.667,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949589663,7520,376,,,,,,,,,,0.147,19608.404,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949614495,512,389,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949627871,512,402,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949640927,480,415,,,,,,,,,,0.000,533.333,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949651808,512,428,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949662592,480,441,,,,,,,,,,0.000,16.667,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949690880,7712,454,,,,,,,,,,0.147,19120.325,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949714945,480,467,,,,,,,,,,0.000,533.333,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949728737,480,480,,,,,,,,,,0.000,533.333,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949741409,480,493,,,,,,,,,,0.000,533.333,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949752353,512,506,,,,,,,,,,0.000,500.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949763649,448,519,,,,,,,,,,0.000,17.857,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949808002,14240,532,,,,,,,,,,0.295,20709.900,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949838210,512,545,,,,,,,,,,0.001,1000.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949852578,512,558,,,,,,,,,,0.001,1000.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949864771,480,571,,,,,,,,,,0.001,1066.666,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949875235,512,584,,,,,,,,,,0.001,1000.000,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
1949886499,480,597,,,,,,,,,,0.000,16.667,Pageable,Device,NVIDIA RTX A4500 (0),1,,7,[CUDA memcpy Host-to-Device]
