timestamp, power.draw [W]
2024/10/30 18:42:33.189, 22.89 W
2024/10/30 18:42:33.239, 22.73 W
2024/10/30 18:42:33.290, 22.73 W
2024/10/30 18:42:33.340, 23.00 W
2024/10/30 18:42:33.390, 23.00 W
2024/10/30 18:42:33.441, 23.00 W
2024/10/30 18:42:33.491, 23.00 W
2024/10/30 18:42:33.541, 22.67 W
2024/10/30 18:42:33.592, 22.67 W
2024/10/30 18:42:33.642, 22.60 W
2024/10/30 18:42:33.692, 22.60 W
2024/10/30 18:42:33.743, 22.47 W
2024/10/30 18:42:33.793, 22.47 W
2024/10/30 18:42:33.844, 22.43 W
2024/10/30 18:42:33.894, 22.43 W
2024/10/30 18:42:33.944, 22.50 W
2024/10/30 18:42:33.995, 22.50 W
2024/10/30 18:42:34.045, 22.51 W
2024/10/30 18:42:34.095, 22.51 W
2024/10/30 18:42:34.146, 22.51 W
2024/10/30 18:42:34.196, 22.51 W
2024/10/30 18:42:34.247, 22.51 W
2024/10/30 18:42:34.297, 22.51 W
2024/10/30 18:42:34.347, 22.47 W
2024/10/30 18:42:34.398, 22.47 W
2024/10/30 18:42:34.448, 22.19 W
2024/10/30 18:42:34.498, 22.19 W
2024/10/30 18:42:34.549, 22.19 W
2024/10/30 18:42:34.599, 22.19 W
2024/10/30 18:42:34.649, 22.19 W
2024/10/30 18:42:34.700, 22.19 W
2024/10/30 18:42:34.750, 22.20 W
2024/10/30 18:42:34.800, 22.20 W
2024/10/30 18:42:34.851, 22.20 W
2024/10/30 18:42:34.901, 22.20 W
2024/10/30 18:42:34.952, 22.20 W
2024/10/30 18:42:35.002, 22.20 W
2024/10/30 18:42:35.052, 22.20 W
2024/10/30 18:42:35.103, 20.92 W
2024/10/30 18:42:35.153, 20.92 W
2024/10/30 18:42:35.203, 20.93 W
2024/10/30 18:42:35.253, 20.93 W
2024/10/30 18:42:35.304, 20.94 W
2024/10/30 18:42:35.354, 20.94 W
2024/10/30 18:42:35.405, 20.93 W
2024/10/30 18:42:35.455, 20.93 W
2024/10/30 18:42:35.505, 20.93 W
2024/10/30 18:42:35.556, 20.93 W
2024/10/30 18:42:35.606, 20.93 W
2024/10/30 18:42:35.656, 20.93 W
2024/10/30 18:42:35.707, 20.92 W
2024/10/30 18:42:35.757, 20.92 W
2024/10/30 18:42:35.807, 20.92 W
2024/10/30 18:42:35.857, 20.92 W
2024/10/30 18:42:35.908, 20.92 W
2024/10/30 18:42:35.958, 20.92 W
2024/10/30 18:42:36.008, 21.02 W
2024/10/30 18:42:36.058, 21.02 W
2024/10/30 18:42:36.108, 22.20 W
2024/10/30 18:42:36.159, 22.20 W
2024/10/30 18:42:36.209, 22.11 W
2024/10/30 18:42:36.259, 22.11 W
2024/10/30 18:42:36.309, 22.21 W
2024/10/30 18:42:36.360, 22.21 W
2024/10/30 18:42:36.410, 22.41 W
2024/10/30 18:42:36.460, 22.41 W
2024/10/30 18:42:36.511, 22.52 W
2024/10/30 18:42:36.561, 22.52 W
2024/10/30 18:42:36.611, 22.52 W
2024/10/30 18:42:36.662, 22.52 W
2024/10/30 18:42:36.712, 22.52 W
2024/10/30 18:42:36.762, 22.52 W
2024/10/30 18:42:36.813, 22.63 W
